Code,OfficialSourceImage,SourceDimension,ApprovedLocalImage,LocalDimension,VisualCheck,FinalStatus,Note
TQ01,https://theone.vn/wp-content/uploads/2020/08/TQ01-1.jpg,580x580,/assets/products/approved/TQ01.webp,600x600,PASS,PASS,Correct product
TQ05,https://theone.vn/wp-content/uploads/2020/08/TQ05-1.jpg,580x580,/assets/products/approved/TQ05.webp,600x600,PASS,PASS,Correct product
TQ26,https://theone.vn/wp-content/uploads/2020/08/TQ26-1.jpg,580x580,/assets/v10-01/executive-chair-theone/products/TQ26.jpg,580x580,PASS,PASS,Correct product
TQ27,https://theone.vn/wp-content/uploads/2022/02/TQ27.jpg,580x580,/assets/v10-01/executive-chair-theone/products/TQ27.jpg,700x700,PASS,PASS,Correct product
TQ30,https://theone.vn/wp-content/uploads/2020/08/TQ30-1.jpg,580x580,/assets/v10-01/executive-chair-theone/products/TQ30.jpg,600x600,PASS,PASS,Correct product
TQ34,https://theone.vn/wp-content/uploads/2024/03/theonevn-TQ34.jpg,580x580,/assets/v10-01/executive-chair-theone/products/TQ34.jpg,700x700,PASS,PASS,Correct product
TQ34,https://theone.vn/wp-content/uploads/2024/03/theonevn-TQ34_1.jpg,580x580,,580x580,WATERMARK,REJECTED,Visible theone.vn watermark
TQ34,https://theone.vn/wp-content/uploads/2024/03/theonevn-TQ34_2.jpg,580x580,,580x580,WATERMARK,REJECTED,Visible theone.vn watermark
TQ38,https://theone.vn/wp-content/uploads/2022/02/TQ38.jpg,580x580,/assets/v10-01/executive-chair-theone/products/TQ38.jpg,600x600,PASS,PASS,Correct product
TQ39,https://theone.vn/wp-content/uploads/2022/02/TQ39.jpg,580x580,/assets/v10-01/executive-chair-theone/products/TQ39.jpg,600x600,PASS,PASS,Correct product
