Code,PageURL,CandidateURL,DiscoveredVia,SourceFilename,IsWPThumbnail,ParentOriginalURL,HTTPStatus,MIMEType,Bytes,Width,Height,LongSide,SHA256,DuplicateOfURL,DuplicateHashGroupSize,Classification,ClassificationReason,VisualInspection,LocalPath,DownloadError,SelectedRole,SelectedPath,SelectedSHA256,ExactBytesPreserved,CodeProposedMainURL,CodeProposedGalleryURLs,CodeMaxCleanResolution,CodeSelectedCount,CodeRejectedCount,CodeRecommendation
GL304,https://theone.vn/san-pham/ghe-gl304,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11.jpg,html.regex,theonevn-GL304L11.jpg,false,,200,image/jpeg,46271,580,580,580,3bd4067c4de2e6e1291b4647bb5bc7265bfb30a3f31a4c0e2e3e83e36a01c43f,,1,LOW_RES_EXACT,"Visually clean exact-code original, but maximum edge is only 580px (below the 1000px package target).",VISUAL_INSPECTED,C:/Users/Admin/.codex/visualizations/2026/07/16/019f6a5a-f60f-72d3-8f66-398492e30693/v10-04-image-harvest/raw/GL304/001_theonevn-GL304L11.jpg,,MAIN,C:/Users/Admin/.codex/visualizations/2026/07/16/019f6a5a-f60f-72d3-8f66-398492e30693/v10-04-image-harvest/selected/GL304/main__theonevn-GL304L11.jpg,3bd4067c4de2e6e1291b4647bb5bc7265bfb30a3f31a4c0e2e3e83e36a01c43f,true,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11.jpg,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11_1.jpg | https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11_2.jpg,580x580,3,16,USE_PROVISIONALLY_WITH_LOW_RES_DISCLOSURE; exact clean original only 580x580; never upscale.
GL304,https://theone.vn/san-pham/ghe-gl304,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11-300x300.jpg,html.regex,theonevn-GL304L11-300x300.jpg,true,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11.jpg,200,image/jpeg,8894,300,300,300,b2b3d4d3525079b1e70e63ed062056996a887c65e8c65a151a56ef18d977af98,,1,DUPLICATE,"WordPress resized derivative of an original attachment; inferior duplicate, not a separate gallery asset.",INFERRED_DERIVATIVE,C:/Users/Admin/.codex/visualizations/2026/07/16/019f6a5a-f60f-72d3-8f66-398492e30693/v10-04-image-harvest/raw/GL304/002_theonevn-GL304L11-300x300.jpg,,,,,false,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11.jpg,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11_1.jpg | https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11_2.jpg,580x580,3,16,USE_PROVISIONALLY_WITH_LOW_RES_DISCLOSURE; exact clean original only 580x580; never upscale.
GL304,https://theone.vn/san-pham/ghe-gl304,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11-150x150.jpg,html.regex,theonevn-GL304L11-150x150.jpg,true,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11.jpg,200,image/jpeg,3454,150,150,150,41a03abd915963d9c067b0c2b6e9fdd7bff1330bba1dc9fb45b556e9340a0ecc,,1,DUPLICATE,"WordPress resized derivative of an original attachment; inferior duplicate, not a separate gallery asset.",INFERRED_DERIVATIVE,C:/Users/Admin/.codex/visualizations/2026/07/16/019f6a5a-f60f-72d3-8f66-398492e30693/v10-04-image-harvest/raw/GL304/003_theonevn-GL304L11-150x150.jpg,,,,,false,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11.jpg,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11_1.jpg | https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11_2.jpg,580x580,3,16,USE_PROVISIONALLY_WITH_LOW_RES_DISCLOSURE; exact clean original only 580x580; never upscale.
GL304,https://theone.vn/san-pham/ghe-gl304,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11-500x500.jpg,html.regex,theonevn-GL304L11-500x500.jpg,true,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11.jpg,200,image/jpeg,19953,500,500,500,03a4a6fb78a2e1a127bccecce51d3b13a0ce068d8daf188aeefe6fe1b64af6d8,,1,DUPLICATE,"WordPress resized derivative of an original attachment; inferior duplicate, not a separate gallery asset.",INFERRED_DERIVATIVE,C:/Users/Admin/.codex/visualizations/2026/07/16/019f6a5a-f60f-72d3-8f66-398492e30693/v10-04-image-harvest/raw/GL304/004_theonevn-GL304L11-500x500.jpg,,,,,false,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11.jpg,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11_1.jpg | https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11_2.jpg,580x580,3,16,USE_PROVISIONALLY_WITH_LOW_RES_DISCLOSURE; exact clean original only 580x580; never upscale.
GL304,https://theone.vn/san-pham/ghe-gl304,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11-100x100.jpg,html.regex,theonevn-GL304L11-100x100.jpg,true,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11.jpg,200,image/jpeg,2301,100,100,100,321a9d9bfeef86ac3c071eb1cd712e12fdb90e264c44e76d57ba7045709f1865,,1,DUPLICATE,"WordPress resized derivative of an original attachment; inferior duplicate, not a separate gallery asset.",INFERRED_DERIVATIVE,C:/Users/Admin/.codex/visualizations/2026/07/16/019f6a5a-f60f-72d3-8f66-398492e30693/v10-04-image-harvest/raw/GL304/005_theonevn-GL304L11-100x100.jpg,,,,,false,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11.jpg,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11_1.jpg | https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11_2.jpg,580x580,3,16,USE_PROVISIONALLY_WITH_LOW_RES_DISCLOSURE; exact clean original only 580x580; never upscale.
GL304,https://theone.vn/san-pham/ghe-gl304,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11_1.jpg,html.regex,theonevn-GL304L11_1.jpg,false,,200,image/jpeg,46409,580,580,580,9d50d1b02e3c70dd44dff113bbdb7f6c8f6b16e389156eecc9f8d43bcef00447,,1,LOW_RES_EXACT,"Visually clean exact-code original, but maximum edge is only 580px (below the 1000px package target).",VISUAL_INSPECTED,C:/Users/Admin/.codex/visualizations/2026/07/16/019f6a5a-f60f-72d3-8f66-398492e30693/v10-04-image-harvest/raw/GL304/006_theonevn-GL304L11_1.jpg,,GALLERY_01,C:/Users/Admin/.codex/visualizations/2026/07/16/019f6a5a-f60f-72d3-8f66-398492e30693/v10-04-image-harvest/selected/GL304/gallery_01__theonevn-GL304L11_1.jpg,9d50d1b02e3c70dd44dff113bbdb7f6c8f6b16e389156eecc9f8d43bcef00447,true,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11.jpg,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11_1.jpg | https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11_2.jpg,580x580,3,16,USE_PROVISIONALLY_WITH_LOW_RES_DISCLOSURE; exact clean original only 580x580; never upscale.
GL304,https://theone.vn/san-pham/ghe-gl304,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11_1-300x300.jpg,html.regex,theonevn-GL304L11_1-300x300.jpg,true,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11_1.jpg,200,image/jpeg,9190,300,300,300,e84d3525c78fa0de38b6320928316ca4939b31445e5c3441f484cebd304458b9,,1,DUPLICATE,"WordPress resized derivative of an original attachment; inferior duplicate, not a separate gallery asset.",INFERRED_DERIVATIVE,C:/Users/Admin/.codex/visualizations/2026/07/16/019f6a5a-f60f-72d3-8f66-398492e30693/v10-04-image-harvest/raw/GL304/007_theonevn-GL304L11_1-300x300.jpg,,,,,false,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11.jpg,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11_1.jpg | https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11_2.jpg,580x580,3,16,USE_PROVISIONALLY_WITH_LOW_RES_DISCLOSURE; exact clean original only 580x580; never upscale.
GL304,https://theone.vn/san-pham/ghe-gl304,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11_1-150x150.jpg,html.regex,theonevn-GL304L11_1-150x150.jpg,true,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11_1.jpg,200,image/jpeg,3581,150,150,150,9e1bc673b19f57ce653bd2d3c04654a1119cc5900c9c31be4c821dcb736f9b37,,1,DUPLICATE,"WordPress resized derivative of an original attachment; inferior duplicate, not a separate gallery asset.",INFERRED_DERIVATIVE,C:/Users/Admin/.codex/visualizations/2026/07/16/019f6a5a-f60f-72d3-8f66-398492e30693/v10-04-image-harvest/raw/GL304/008_theonevn-GL304L11_1-150x150.jpg,,,,,false,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11.jpg,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11_1.jpg | https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11_2.jpg,580x580,3,16,USE_PROVISIONALLY_WITH_LOW_RES_DISCLOSURE; exact clean original only 580x580; never upscale.
GL304,https://theone.vn/san-pham/ghe-gl304,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11_1-500x500.jpg,html.regex,theonevn-GL304L11_1-500x500.jpg,true,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11_1.jpg,200,image/jpeg,19891,500,500,500,64770412df7351e029ecdcbd75fd09c611342237545d214a99bbc48c4342336e,,1,DUPLICATE,"WordPress resized derivative of an original attachment; inferior duplicate, not a separate gallery asset.",INFERRED_DERIVATIVE,C:/Users/Admin/.codex/visualizations/2026/07/16/019f6a5a-f60f-72d3-8f66-398492e30693/v10-04-image-harvest/raw/GL304/009_theonevn-GL304L11_1-500x500.jpg,,,,,false,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11.jpg,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11_1.jpg | https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11_2.jpg,580x580,3,16,USE_PROVISIONALLY_WITH_LOW_RES_DISCLOSURE; exact clean original only 580x580; never upscale.
GL304,https://theone.vn/san-pham/ghe-gl304,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11_1-100x100.jpg,html.regex,theonevn-GL304L11_1-100x100.jpg,true,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11_1.jpg,200,image/jpeg,2261,100,100,100,e138f48603109b49362fe6fa1ef658ad8b6673c4cadc07e081f1d282d6a82856,,1,DUPLICATE,"WordPress resized derivative of an original attachment; inferior duplicate, not a separate gallery asset.",INFERRED_DERIVATIVE,C:/Users/Admin/.codex/visualizations/2026/07/16/019f6a5a-f60f-72d3-8f66-398492e30693/v10-04-image-harvest/raw/GL304/010_theonevn-GL304L11_1-100x100.jpg,,,,,false,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11.jpg,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11_1.jpg | https://theone.vn/wp-content/uploads/2024/03/theonevn-GL304L11_2.jpg,580x580,3,16,USE_PROVISIONALLY_WITH_LOW_RES_DISCLOSURE; exact clean original only 580x580; never upscale.
