Code,Field,Provenance,Evidence
GL304,Membership,PORTAL_SOURCE,ProductDB/Portal package inventory
GL304,ProductName,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl304
GL304,Size,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl304
GL304,Material,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl304
GL304,Features,BA_FURNITURE_EDITORIAL,https://theone.vn/san-pham/ghe-gl304
GL304,Price,PORTAL_SOURCE,ProductDB SalePrice; public label is reference price
GL304,Application,BA_FURNITURE_EDITORIAL,Derived only from verified construction/features
GL304,Image,NO_CLEAN_EXACT,MISSING
GL307,Membership,PORTAL_SOURCE,ProductDB/Portal package inventory
GL307,ProductName,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl307
GL307,Size,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl307
GL307,Material,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl307
GL307,Features,BA_FURNITURE_EDITORIAL,https://theone.vn/san-pham/ghe-gl307
GL307,Price,PORTAL_SOURCE,ProductDB SalePrice; public label is reference price
GL307,Application,BA_FURNITURE_EDITORIAL,Derived only from verified construction/features
GL307,Image,LOW_RES_EXACT,https://theone.vn/wp-content/uploads/2024/03/theonevn-GL307L11LX13.jpg
GL309,Membership,PORTAL_SOURCE,ProductDB/Portal package inventory
GL309,ProductName,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl309
GL309,Size,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl309
GL309,Material,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl309
GL309,Features,BA_FURNITURE_EDITORIAL,https://theone.vn/san-pham/ghe-gl309
GL309,Price,PORTAL_SOURCE,ProductDB SalePrice; public label is reference price
GL309,Application,BA_FURNITURE_EDITORIAL,Derived only from verified construction/features
GL309,Image,NO_CLEAN_EXACT,MISSING
GL316,Membership,PORTAL_SOURCE,ProductDB/Portal package inventory
GL316,ProductName,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl316
GL316,Size,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl316
GL316,Material,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl316
GL316,Features,BA_FURNITURE_EDITORIAL,https://theone.vn/san-pham/ghe-gl316
GL316,Price,PORTAL_SOURCE,ProductDB SalePrice; public label is reference price
GL316,Application,BA_FURNITURE_EDITORIAL,Derived only from verified construction/features
GL316,Image,NO_CLEAN_EXACT,MISSING
GL317,Membership,PORTAL_SOURCE,ProductDB/Portal package inventory
GL317,ProductName,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl317
GL317,Size,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl317
GL317,Material,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl317
GL317,Features,BA_FURNITURE_EDITORIAL,https://theone.vn/san-pham/ghe-gl317
GL317,Price,PORTAL_SOURCE,ProductDB SalePrice; public label is reference price
GL317,Application,BA_FURNITURE_EDITORIAL,Derived only from verified construction/features
GL317,Image,NO_CLEAN_EXACT,MISSING
GL320,Membership,PORTAL_SOURCE,ProductDB/Portal package inventory
GL320,ProductName,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl320
GL320,Size,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl320
GL320,Material,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl320
GL320,Features,BA_FURNITURE_EDITORIAL,https://theone.vn/san-pham/ghe-gl320
GL320,Price,PORTAL_SOURCE,ProductDB SalePrice; public label is reference price
GL320,Application,BA_FURNITURE_EDITORIAL,Derived only from verified construction/features
GL320,Image,LOW_RES_EXACT,https://theone.vn/wp-content/uploads/2020/08/GL320-1.jpg
GL321,Membership,PORTAL_SOURCE,ProductDB/Portal package inventory
GL321,ProductName,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl321
GL321,Size,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl321
GL321,Material,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl321
GL321,Features,BA_FURNITURE_EDITORIAL,https://theone.vn/san-pham/ghe-gl321
GL321,Price,PORTAL_SOURCE,ProductDB SalePrice; public label is reference price
GL321,Application,BA_FURNITURE_EDITORIAL,Derived only from verified construction/features
GL321,Image,LOW_RES_EXACT,https://theone.vn/wp-content/uploads/2020/08/GL321-1.jpg
GL322,Membership,PORTAL_SOURCE,ProductDB/Portal package inventory
GL322,ProductName,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl322
GL322,Size,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl322
GL322,Material,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl322
GL322,Features,BA_FURNITURE_EDITORIAL,https://theone.vn/san-pham/ghe-gl322
GL322,Price,PORTAL_SOURCE,ProductDB SalePrice; public label is reference price
GL322,Application,BA_FURNITURE_EDITORIAL,Derived only from verified construction/features
GL322,Image,LOW_RES_EXACT,https://theone.vn/wp-content/uploads/2020/08/GL322.jpg
GL323,Membership,PORTAL_SOURCE,ProductDB/Portal package inventory
GL323,ProductName,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl323
GL323,Size,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl323
GL323,Material,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl323
GL323,Features,BA_FURNITURE_EDITORIAL,https://theone.vn/san-pham/ghe-gl323
GL323,Price,PORTAL_SOURCE,ProductDB SalePrice; public label is reference price
GL323,Application,BA_FURNITURE_EDITORIAL,Derived only from verified construction/features
GL323,Image,LOW_RES_EXACT,https://theone.vn/wp-content/uploads/2020/08/GL323.jpg
GL324,Membership,PORTAL_SOURCE,ProductDB/Portal package inventory
GL324,ProductName,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl324
GL324,Size,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl324
GL324,Material,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl324
GL324,Features,BA_FURNITURE_EDITORIAL,https://theone.vn/san-pham/ghe-gl324
GL324,Price,PORTAL_SOURCE,ProductDB SalePrice; public label is reference price
GL324,Application,BA_FURNITURE_EDITORIAL,Derived only from verified construction/features
GL324,Image,NO_CLEAN_EXACT,MISSING
GL326,Membership,PORTAL_SOURCE,ProductDB/Portal package inventory
GL326,ProductName,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl326
GL326,Size,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl326
GL326,Material,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl326
GL326,Features,BA_FURNITURE_EDITORIAL,https://theone.vn/san-pham/ghe-gl326
GL326,Price,PORTAL_SOURCE,ProductDB SalePrice; public label is reference price
GL326,Application,BA_FURNITURE_EDITORIAL,Derived only from verified construction/features
GL326,Image,LOW_RES_EXACT,https://theone.vn/wp-content/uploads/2020/08/GL326-1.jpg
GL328,Membership,PORTAL_SOURCE,ProductDB/Portal package inventory
GL328,ProductName,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl328
GL328,Size,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl328
GL328,Material,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl328
GL328,Features,BA_FURNITURE_EDITORIAL,https://theone.vn/san-pham/ghe-gl328
GL328,Price,PORTAL_SOURCE,ProductDB SalePrice; public label is reference price
GL328,Application,BA_FURNITURE_EDITORIAL,Derived only from verified construction/features
GL328,Image,LOW_RES_EXACT,https://theone.vn/wp-content/uploads/2020/08/GL328-1.jpg
GL329,Membership,PORTAL_SOURCE,ProductDB/Portal package inventory
GL329,ProductName,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl329
GL329,Size,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl329
GL329,Material,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl329
GL329,Features,BA_FURNITURE_EDITORIAL,https://theone.vn/san-pham/ghe-gl329
GL329,Price,PORTAL_SOURCE,ProductDB SalePrice; public label is reference price
GL329,Application,BA_FURNITURE_EDITORIAL,Derived only from verified construction/features
GL329,Image,LOW_RES_EXACT,https://theone.vn/wp-content/uploads/2022/02/GL329.jpg
GL331,Membership,PORTAL_SOURCE,ProductDB/Portal package inventory
GL331,ProductName,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl331
GL331,Size,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl331
GL331,Material,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl331
GL331,Features,BA_FURNITURE_EDITORIAL,https://theone.vn/san-pham/ghe-gl331
GL331,Price,PORTAL_SOURCE,ProductDB SalePrice; public label is reference price
GL331,Application,BA_FURNITURE_EDITORIAL,Derived only from verified construction/features
GL331,Image,LOW_RES_EXACT,https://theone.vn/wp-content/uploads/2022/02/GL331.jpg
GL332,Membership,PORTAL_SOURCE,ProductDB/Portal package inventory
GL332,ProductName,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl332
GL332,Size,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl332
GL332,Material,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl332
GL332,Features,BA_FURNITURE_EDITORIAL,https://theone.vn/san-pham/ghe-gl332
GL332,Price,PORTAL_SOURCE,ProductDB SalePrice; public label is reference price
GL332,Application,BA_FURNITURE_EDITORIAL,Derived only from verified construction/features
GL332,Image,LOW_RES_EXACT,https://theone.vn/wp-content/uploads/2022/11/GL332.jpg
GL333,Membership,PORTAL_SOURCE,ProductDB/Portal package inventory
GL333,ProductName,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl333
GL333,Size,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl333
GL333,Material,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl333
GL333,Features,BA_FURNITURE_EDITORIAL,https://theone.vn/san-pham/ghe-gl333
GL333,Price,PORTAL_SOURCE,ProductDB SalePrice; public label is reference price
GL333,Application,BA_FURNITURE_EDITORIAL,Derived only from verified construction/features
GL333,Image,LOW_RES_EXACT,https://theone.vn/wp-content/uploads/2022/02/GL333-hinh01.jpg
GL334,Membership,PORTAL_SOURCE,ProductDB/Portal package inventory
GL334,ProductName,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl334
GL334,Size,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl334
GL334,Material,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl334
GL334,Features,BA_FURNITURE_EDITORIAL,https://theone.vn/san-pham/ghe-gl334
GL334,Price,PORTAL_SOURCE,ProductDB SalePrice; public label is reference price
GL334,Application,BA_FURNITURE_EDITORIAL,Derived only from verified construction/features
GL334,Image,LOW_RES_EXACT,https://theone.vn/wp-content/uploads/2022/02/GL334.jpg
GL335,Membership,PORTAL_SOURCE,ProductDB/Portal package inventory
GL335,ProductName,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl335
GL335,Size,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl335
GL335,Material,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl335
GL335,Features,BA_FURNITURE_EDITORIAL,https://theone.vn/san-pham/ghe-gl335
GL335,Price,PORTAL_SOURCE,ProductDB SalePrice; public label is reference price
GL335,Application,BA_FURNITURE_EDITORIAL,Derived only from verified construction/features
GL335,Image,NO_CLEAN_EXACT,MISSING
GL336,Membership,PORTAL_SOURCE,ProductDB/Portal package inventory
GL336,ProductName,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl336
GL336,Size,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl336
GL336,Material,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl336
GL336,Features,BA_FURNITURE_EDITORIAL,https://theone.vn/san-pham/ghe-gl336
GL336,Price,PORTAL_SOURCE,ProductDB SalePrice; public label is reference price
GL336,Application,BA_FURNITURE_EDITORIAL,Derived only from verified construction/features
GL336,Image,LOW_RES_EXACT,https://theone.vn/wp-content/uploads/2022/05/GL336.jpg
GL338,Membership,PORTAL_SOURCE,ProductDB/Portal package inventory
GL338,ProductName,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl338
GL338,Size,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl338
GL338,Material,OFFICIAL_SOURCE,https://theone.vn/san-pham/ghe-gl338
GL338,Features,BA_FURNITURE_EDITORIAL,https://theone.vn/san-pham/ghe-gl338
GL338,Price,PORTAL_SOURCE,ProductDB SalePrice; public label is reference price
GL338,Application,BA_FURNITURE_EDITORIAL,Derived only from verified construction/features
GL338,Image,LOW_RES_EXACT,https://theone.vn/wp-content/uploads/2022/05/GL338.jpg
GL343,Membership,PORTAL_SOURCE,ProductDB/Portal package inventory
GL343,ProductName,OFFICIAL_SOURCE,https://theone.vn/san-pham/gl343
GL343,Size,OFFICIAL_SOURCE,https://theone.vn/san-pham/gl343
GL343,Material,OFFICIAL_SOURCE,https://theone.vn/san-pham/gl343
GL343,Features,BA_FURNITURE_EDITORIAL,https://theone.vn/san-pham/gl343
GL343,Price,PORTAL_SOURCE,ProductDB SalePrice; public label is reference price
GL343,Application,BA_FURNITURE_EDITORIAL,Derived only from verified construction/features
GL343,Image,LOW_RES_EXACT,https://theone.vn/wp-content/uploads/2022/08/GL343.jpg
GL345,Membership,PORTAL_SOURCE,ProductDB/Portal package inventory
GL345,ProductName,OFFICIAL_SOURCE,https://theone.vn/san-pham/gl345
GL345,Size,OFFICIAL_SOURCE,https://theone.vn/san-pham/gl345
GL345,Material,OFFICIAL_SOURCE,https://theone.vn/san-pham/gl345
GL345,Features,BA_FURNITURE_EDITORIAL,https://theone.vn/san-pham/gl345
GL345,Price,PORTAL_SOURCE,ProductDB SalePrice; public label is reference price
GL345,Application,BA_FURNITURE_EDITORIAL,Derived only from verified construction/features
GL345,Image,NO_CLEAN_EXACT,MISSING
