Code,ProductName,ProductDBPriceVND,OfficialDimensions,OfficialMaterial,OfficialSourceURL,MainImage,Resolution,GalleryCount,RejectedCount,ImageStatus,DataStatus
GL304,Ghế Lưới Trưởng Phòng The One GL304,1894200,Rộng 585 x Sâu 680 x Cao (1180÷1260) mm,Khung thép mạ bọc vải lưới chịu lực; chân thép mạ,https://theone.vn/san-pham/ghe-gl304,/assets/v10-04/gl3xx-theone/products/GL304/main.webp,1000x723,2,19,CLEAN_EXACT,OFFICIAL_CORE_FIELDS_VERIFIED
GL307,Ghế Lưới Lưng Cao The One GL307,2013000,Rộng 550 x Sâu 650 x Cao (1050÷1130) mm,"Khung tựa, tay và chân thép mạ; đệm mút bọc vải lưới xốp; tựa bọc vải lưới chịu lực",https://theone.vn/san-pham/ghe-gl307,/assets/v10-04/gl3xx-theone/products/GL307/main.jpg,580x580,1,9,LOW_RES_EXACT,OFFICIAL_CORE_FIELDS_VERIFIED
GL309,Ghế Lưới Tựa Đầu The One GL309,2266000,Rộng 620 x Sâu (520÷1280) x Cao (1215÷1295) mm,"Chân thép mạ, tay nhựa ốp PU",https://theone.vn/san-pham/ghe-gl309,/assets/v10-04/gl3xx-theone/products/GL309/main.webp,2000x1446,4,20,CLEAN_EXACT,OFFICIAL_CORE_FIELDS_VERIFIED
GL316,Ghế Xoay Lưới Cao Cấp The One GL316,2332000,Rộng 655 x Sâu (605÷935) x Cao (1080 ÷1160) mm,Tựa lưới & PVC; đệm mút bọc PVC; chân thép mạ; tay thép mạ & nhựa,https://theone.vn/san-pham/ghe-gl316,/assets/v10-04/gl3xx-theone/products/GL316/main.webp,2000x1446,2,19,CLEAN_EXACT,OFFICIAL_CORE_FIELDS_VERIFIED
GL317,Ghế Xoay Lưng Cao The One GL317,2193400,Rộng 585 x Sâu 680 x Cao (1180÷1260) mm,Khung thép bọc da CN; chân tay thép mạ,https://theone.vn/san-pham/ghe-gl317,/assets/v10-04/gl3xx-theone/products/GL317/main.webp,2000x1446,1,9,CLEAN_EXACT,OFFICIAL_CORE_FIELDS_VERIFIED
GL320,Ghế Xoay Lưới Hiện Đại The One GL320,2662000,Rộng 600 x Sâu (710÷1015) x Cao (1160÷1240) mm,Khung thép mạ bọc vải lưới; tay chân thép mạ,https://theone.vn/san-pham/ghe-gl320,/assets/v10-04/gl3xx-theone/products/GL320/main.jpg,580x580,1,4,LOW_RES_EXACT,OFFICIAL_CORE_FIELDS_VERIFIED
GL321,Ghế Làm Việc Cao Cấp The One GL321,2288000,Chân nhựa: Rộng 630 x Sâu (680÷975) x Cao (1215÷1340) mm Chân mạ: Rộng 630 x Sâu (680÷975) x Cao (1205÷1280) mm Chân mạ M1: Rộng 630 x Sâu (680÷975) x Cao (1190÷1270) mm,Khung nhựa bọc lưới; đệm mút bọc da; tay nhựa; chân nhựa/ mạ,https://theone.vn/san-pham/ghe-gl321,/assets/v10-04/gl3xx-theone/products/GL321/main.jpg,580x580,1,4,LOW_RES_EXACT,OFFICIAL_CORE_FIELDS_VERIFIED
GL322,Ghế Xoay Lưới Tựa Đầu The One GL322,2079000,ghế chân Nhựa: Rộng 620 x Sâu (600÷870) x Cao (1125÷1200) mm; ghế chân Mạ: Rộng 620 x Sâu (600÷870) x Cao (1155÷1235) mm; ghế chân mạ M1: Rộng 620 x Sâu (600÷870) x Cao (1135÷1215) mm,Khung nhựa bọc lưới; đệm mút bọc vải; tay nhựa; chân nhựa/ mạ,https://theone.vn/san-pham/ghe-gl322,/assets/v10-04/gl3xx-theone/products/GL322/main.jpg,580x580,1,5,LOW_RES_EXACT,OFFICIAL_CORE_FIELDS_VERIFIED
GL323,Ghế Văn Phòng Gác Chân The One GL323,2882000,Rộng 635 x Sâu (510÷1020) x Cao (1155÷1230) mm,Khung nhựa bọc vải lưới; chân thép mạ,https://theone.vn/san-pham/ghe-gl323,/assets/v10-04/gl3xx-theone/products/GL323/main.jpg,580x580,1,4,LOW_RES_EXACT,OFFICIAL_CORE_FIELDS_VERIFIED
GL324,Ghế Xoay Lưới Cao Cấp The One GL324,2442000,Chân nhựa: Rộng 665 x Sâu (665÷975) x Cao ( 1125-1220 ) mm Chân mạ: Rộng 665 x Sâu (665÷975) x Cao (1145÷1220) mm Chân mạ M1: Rộng 665 x Sâu (665÷975) x Cao (1120÷1200) mm,Khung nhựa bọc lưới; đệm mút bọc vải lưới; tay nhựa; chân nhựa/ mạ,https://theone.vn/san-pham/ghe-gl324,/assets/v10-04/gl3xx-theone/products/GL324/main.webp,2000x1446,2,20,CLEAN_EXACT,OFFICIAL_CORE_FIELDS_VERIFIED
