Code,SelectedMain,NaturalResolution,Bytes,Status,GalleryCount,SourceLimit,Watermark,QR,SupplierLogo,WrongCode,FakeUpscale
GL401,https://storage.sudospaces.com/noithattheone/2020/11/gl401-2.jpg.webp,1000x723,147500,CLEAN_EXACT,2,NO,NO,NO,NO,NO,NO
GL402TB,https://storage.sudospaces.com/noithattheone/2020/11/gl402tb-1.jpg.webp,1000x723,133514,CLEAN_EXACT,1,NO,NO,NO,NO,NO,NO
GL402XB,https://storage.sudospaces.com/noithattheone/2020/11/gl402xb-2.jpg.webp,1000x723,115868,CLEAN_EXACT,2,NO,NO,NO,NO,NO,NO
GL403,https://storage.sudospaces.com/noithattheone/2024/03/gl403-2.jpg.webp,1000x723,100746,CLEAN_EXACT,2,NO,NO,NO,NO,NO,NO
GL404,https://storage.sudospaces.com/noithattheone/2020/11/gl404-2.jpg.webp,1000x723,110750,CLEAN_EXACT,3,NO,NO,NO,NO,NO,NO
GL404B,https://theone.vn/wp-content/uploads/2022/05/GL404B.jpg,580x580,42980,LOW_RES_EXACT_SOURCE_LIMIT,1,YES,NO,NO,NO,NO,NO
GL405,https://storage.sudospaces.com/noithattheone/2026/03/gl405-2.jpg,1000x723,87827,CLEAN_EXACT,2,NO,NO,NO,NO,NO,NO
GL406,https://storage.sudospaces.com/noithattheone/2024/03/gl406-2.jpg.webp,1000x723,78640,CLEAN_EXACT,2,NO,NO,NO,NO,NO,NO
GL410,https://storage.sudospaces.com/noithattheone/2024/06/gl410-2.jpg.webp,2000x1446,460356,CLEAN_EXACT,2,NO,NO,NO,NO,NO,NO
GL411,https://storage.sudospaces.com/noithattheone/2020/11/gl411-1.jpg.webp,1000x723,125992,CLEAN_EXACT,2,NO,NO,NO,NO,NO,NO
GL412,https://storage.sudospaces.com/noithattheone/2023/06/gl412-2.jpg.webp,2000x1446,440284,CLEAN_EXACT,2,NO,NO,NO,NO,NO,NO
GL417,https://storage.sudospaces.com/noithattheone/2023/06/gl417-1-2.jpg.webp,2000x1446,362318,CLEAN_EXACT,2,NO,NO,NO,NO,NO,NO
GL418,https://storage.sudospaces.com/noithattheone/2023/09/gl418-2.jpg.webp,1000x723,124424,CLEAN_EXACT,2,NO,NO,NO,NO,NO,NO
GL419,https://storage.sudospaces.com/noithattheone/2023/06/gl419-2.jpg.webp,2000x1446,368338,CLEAN_EXACT,2,NO,NO,NO,NO,NO,NO
GL420,https://storage.sudospaces.com/noithattheone/2023/06/gl420-2.jpg.webp,2000x1446,314468,CLEAN_EXACT,2,NO,NO,NO,NO,NO,NO
GL421,https://storage.sudospaces.com/noithattheone/2023/09/gl421-2-1.jpg.webp,1000x723,113658,CLEAN_EXACT,2,NO,NO,NO,NO,NO,NO
GL423,https://storage.sudospaces.com/noithattheone/2023/06/gl423-2.jpg.webp,2000x1446,443066,CLEAN_EXACT,2,NO,NO,NO,NO,NO,NO
GL424,https://theone.vn/wp-content/uploads/2020/08/GL424.jpg,580x580,60184,LOW_RES_EXACT_SOURCE_LIMIT,1,YES,NO,NO,NO,NO,NO
GL424B,https://storage.sudospaces.com/noithattheone/2020/11/gl-424b-2.jpg.webp,1000x723,113368,CLEAN_EXACT,3,NO,NO,NO,NO,NO,NO
GL425,https://storage.sudospaces.com/noithattheone/2020/11/gl425-1.jpg.webp,1000x723,120636,CLEAN_EXACT,2,NO,NO,NO,NO,NO,NO
GL426,https://storage.sudospaces.com/noithattheone/2020/11/gl426-1.jpg.webp,1000x723,110348,CLEAN_EXACT,2,NO,NO,NO,NO,NO,NO
GL427,https://storage.sudospaces.com/noithattheone/2025/01/gl427-2.jpg.webp,2000x1446,396530,CLEAN_EXACT,2,NO,NO,NO,NO,NO,NO
GL429,https://theone.vn/wp-content/uploads/2020/08/GL429.jpg,580x580,47544,LOW_RES_EXACT_SOURCE_LIMIT,1,YES,NO,NO,NO,NO,NO
GL430,https://storage.sudospaces.com/noithattheone/2024/07/gl430-2.jpg.webp,2000x1446,356038,CLEAN_EXACT,2,NO,NO,NO,NO,NO,NO
