Code,ProductName,Portal classification,Source,Status
GL401,Ghế Họp Tựa Lưới The One GL401,OFFICE_CHAIR / Ghế lưới phòng họp-hội thảo GL4xx / PortalReady YES,noithathoaphat.com identity + The One official enrichment,ACTIVE_IN_PRODUCTDB; CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED
GL402TB,Ghế Hội Thảo Có Bàn The One GL402TB,OFFICE_CHAIR / Ghế lưới phòng họp-hội thảo GL4xx / PortalReady YES,noithathoaphat.com identity + The One official enrichment,ACTIVE_IN_PRODUCTDB; CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED
GL402XB,Ghế Hội Thảo Có Bàn The One GL402XB,OFFICE_CHAIR / Ghế lưới phòng họp-hội thảo GL4xx / PortalReady YES,noithathoaphat.com identity + The One official enrichment,ACTIVE_IN_PRODUCTDB; CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED
GL403,Ghế Họp Tựa Lưới The One GL403,OFFICE_CHAIR / Ghế lưới phòng họp-hội thảo GL4xx / PortalReady YES,noithathoaphat.com identity + The One official enrichment,ACTIVE_IN_PRODUCTDB; CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED
GL404,Ghế Họp Tựa Lưới The One GL404,OFFICE_CHAIR / Ghế lưới phòng họp-hội thảo GL4xx / PortalReady YES,noithathoaphat.com identity + The One official enrichment,ACTIVE_IN_PRODUCTDB; CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED
GL404B,Ghế Họp Liền Bàn The One GL404B,OFFICE_CHAIR / Ghế lưới phòng họp-hội thảo GL4xx / PortalReady YES,noithathoaphat.com identity + The One official enrichment,ACTIVE_IN_PRODUCTDB; OFFICIAL_CATALOG_ARCHIVE; SECONDARY_OUT_OF_STOCK
GL405,Ghế Họp Tựa Lưới The One GL405,OFFICE_CHAIR / Ghế lưới phòng họp-hội thảo GL4xx / PortalReady YES,noithathoaphat.com identity + The One official enrichment,ACTIVE_IN_PRODUCTDB; CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED
GL406,Ghế Họp Chân Quỳ The One GL406,OFFICE_CHAIR / Ghế lưới phòng họp-hội thảo GL4xx / PortalReady YES,noithathoaphat.com identity + The One official enrichment,ACTIVE_IN_PRODUCTDB; CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED
GL410,Ghế Họp Tựa Lưới The One GL410,OFFICE_CHAIR / Ghế lưới phòng họp-hội thảo GL4xx / PortalReady YES,noithathoaphat.com identity + The One official enrichment,ACTIVE_IN_PRODUCTDB; CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED
GL411,Ghế Họp Tựa Lưới The One GL411,OFFICE_CHAIR / Ghế lưới phòng họp-hội thảo GL4xx / PortalReady YES,noithathoaphat.com identity + The One official enrichment,ACTIVE_IN_PRODUCTDB; CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED
GL412,Ghế Họp Tựa Lưới The One GL412,OFFICE_CHAIR / Ghế lưới phòng họp-hội thảo GL4xx / PortalReady YES,noithathoaphat.com identity + The One official enrichment,ACTIVE_IN_PRODUCTDB; CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED
