Code,Membership,ProductName,Price,Size,Material,Features,Application,Image
GL401,PORTAL_SOURCE,OFFICIAL_SOURCE,PORTAL_SOURCE,OFFICIAL_SOURCE,OFFICIAL_SOURCE,OFFICIAL_SOURCE,BA_FURNITURE_EDITORIAL,OFFICIAL_SOURCE
GL402TB,PORTAL_SOURCE,OFFICIAL_SOURCE,PORTAL_SOURCE,OFFICIAL_SOURCE,OFFICIAL_SOURCE,OFFICIAL_SOURCE,BA_FURNITURE_EDITORIAL,OFFICIAL_SOURCE
GL402XB,PORTAL_SOURCE,OFFICIAL_SOURCE,PORTAL_SOURCE,OFFICIAL_SOURCE,OFFICIAL_SOURCE,OFFICIAL_SOURCE,BA_FURNITURE_EDITORIAL,OFFICIAL_SOURCE
GL403,PORTAL_SOURCE,OFFICIAL_SOURCE,PORTAL_SOURCE,OFFICIAL_SOURCE,OFFICIAL_SOURCE,OFFICIAL_SOURCE,BA_FURNITURE_EDITORIAL,OFFICIAL_SOURCE
GL404,PORTAL_SOURCE,OFFICIAL_SOURCE,PORTAL_SOURCE,OFFICIAL_SOURCE,OFFICIAL_SOURCE,OFFICIAL_SOURCE,BA_FURNITURE_EDITORIAL,OFFICIAL_SOURCE
GL404B,PORTAL_SOURCE,OFFICIAL_SOURCE,PORTAL_SOURCE,OFFICIAL_SOURCE,OFFICIAL_SOURCE,OFFICIAL_SOURCE,BA_FURNITURE_EDITORIAL,OFFICIAL_SOURCE
GL405,PORTAL_SOURCE,OFFICIAL_SOURCE,PORTAL_SOURCE,OFFICIAL_SOURCE,OFFICIAL_SOURCE,OFFICIAL_SOURCE,BA_FURNITURE_EDITORIAL,OFFICIAL_SOURCE
GL406,PORTAL_SOURCE,OFFICIAL_SOURCE,PORTAL_SOURCE,OFFICIAL_SOURCE,OFFICIAL_SOURCE,OFFICIAL_SOURCE,BA_FURNITURE_EDITORIAL,OFFICIAL_SOURCE
GL410,PORTAL_SOURCE,OFFICIAL_SOURCE,PORTAL_SOURCE,OFFICIAL_SOURCE,OFFICIAL_SOURCE,OFFICIAL_SOURCE,BA_FURNITURE_EDITORIAL,OFFICIAL_SOURCE
GL411,PORTAL_SOURCE,OFFICIAL_SOURCE,PORTAL_SOURCE,OFFICIAL_SOURCE,OFFICIAL_SOURCE,OFFICIAL_SOURCE,BA_FURNITURE_EDITORIAL,OFFICIAL_SOURCE
GL412,PORTAL_SOURCE,OFFICIAL_SOURCE,PORTAL_SOURCE,OFFICIAL_SOURCE,OFFICIAL_SOURCE,OFFICIAL_SOURCE,BA_FURNITURE_EDITORIAL,OFFICIAL_SOURCE
GL417,PORTAL_SOURCE,OFFICIAL_SOURCE,PORTAL_SOURCE,OFFICIAL_SOURCE,OFFICIAL_SOURCE,OFFICIAL_SOURCE,BA_FURNITURE_EDITORIAL,OFFICIAL_SOURCE
GL418,PORTAL_SOURCE,OFFICIAL_SOURCE,PORTAL_SOURCE,OFFICIAL_SOURCE,OFFICIAL_SOURCE,OFFICIAL_SOURCE,BA_FURNITURE_EDITORIAL,OFFICIAL_SOURCE
GL419,PORTAL_SOURCE,OFFICIAL_SOURCE,PORTAL_SOURCE,OFFICIAL_SOURCE,OFFICIAL_SOURCE,OFFICIAL_SOURCE,BA_FURNITURE_EDITORIAL,OFFICIAL_SOURCE
GL420,PORTAL_SOURCE,OFFICIAL_SOURCE,PORTAL_SOURCE,OFFICIAL_SOURCE,OFFICIAL_SOURCE,OFFICIAL_SOURCE,BA_FURNITURE_EDITORIAL,OFFICIAL_SOURCE
GL421,PORTAL_SOURCE,OFFICIAL_SOURCE,PORTAL_SOURCE,OFFICIAL_SOURCE,OFFICIAL_SOURCE,OFFICIAL_SOURCE,BA_FURNITURE_EDITORIAL,OFFICIAL_SOURCE
