Code,ProductName,Price,Size,Material,Image,Resolution,GalleryCount,SourceStatus,ImageStatus
GL401,Ghế Họp Tựa Lưới The One GL401,1595000,W590 x D650 x H1010 mm,Khung thép mạ oval; tựa lưới; đệm mút bọc lưới,/assets/product-packages/gl4xx-theone/products/GL401/main.webp,1000x723,2,CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED,CLEAN_EXACT
GL402TB,Ghế Hội Thảo Có Bàn The One GL402TB,1001000,W620 x D590-725 x H850 mm,Khung tựa nhựa bọc lưới; đệm lưới; bàn nhựa; chân thép sơn hoặc mạ,/assets/product-packages/gl4xx-theone/products/GL402TB/main.webp,1000x723,1,CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED,CLEAN_EXACT
GL402XB,Ghế Hội Thảo Có Bàn The One GL402XB,1045000,W620 x D590-725 x H850 mm,Khung tựa nhựa bọc lưới; đệm lưới; bàn nhựa; chân thép sơn hoặc mạ,/assets/product-packages/gl4xx-theone/products/GL402XB/main.webp,1000x723,2,CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED,CLEAN_EXACT
GL403,Ghế Họp Tựa Lưới The One GL403,1366200,W580 x D630 x H980 mm,Khung thép mạ; đệm tựa bọc lưới chịu lực,/assets/product-packages/gl4xx-theone/products/GL403/main.webp,1000x723,2,CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED,CLEAN_EXACT
GL404,Ghế Họp Tựa Lưới The One GL404,655600,W535 x D575 x H875 mm,Khung tựa nhựa bọc lưới; đệm lưới; chân thép sơn,/assets/product-packages/gl4xx-theone/products/GL404/main.webp,1000x723,3,CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED,CLEAN_EXACT
GL404B,Ghế Họp Liền Bàn The One GL404B,764500,W630 x D640-860 x H865 mm,Khung thép sơn; đệm tựa bọc lưới; bàn viết nhựa,/assets/product-packages/gl4xx-theone/products/GL404B/main.jpg,580x580,1,OFFICIAL_CATALOG_ARCHIVE; SECONDARY_OUT_OF_STOCK,LOW_RES_EXACT_SOURCE_LIMIT
GL405,Ghế Họp Tựa Lưới The One GL405,550000,W470 x D590 x H855 mm,Khung thép mạ; tựa lưới; đệm mút bọc lưới,/assets/product-packages/gl4xx-theone/products/GL405/main.jpg,1000x723,2,CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED,CLEAN_EXACT
GL406,Ghế Họp Chân Quỳ The One GL406,1456400,W580 x D630 x H980 mm,Khung thép mạ; đệm tựa bọc da công nghiệp,/assets/product-packages/gl4xx-theone/products/GL406/main.webp,1000x723,2,CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED,CLEAN_EXACT
GL410,Ghế Họp Tựa Lưới The One GL410,1474000,W560 x D640 x H960 mm,Khung thép mạ; tựa lưới chịu lực; đệm mút bọc lưới,/assets/product-packages/gl4xx-theone/products/GL410/main.webp,2000x1446,2,CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED,CLEAN_EXACT
GL411,Ghế Họp Tựa Lưới The One GL411,1529000,W560 x D640 x H1040 mm,Khung thép mạ; tựa lưới; đệm mút bọc lưới,/assets/product-packages/gl4xx-theone/products/GL411/main.webp,1000x723,2,CURRENT_MANUFACTURER_PAGE; STOCK_UNVERIFIED,CLEAN_EXACT
