Code,SelectedURL,PublicAsset,NaturalResolution,Bytes,SHA256,ImageClassification,CorrectProduct,Watermark,QR,SupplierLogo,WrongCode,CategoryFallback,FakeUpscale,VisualStatus
SL216S,https://theone.vn/wp-content/uploads/2020/08/SL216S-1.jpg,/assets/product-packages/sl-chair-theone/products/SL216S/main.jpg,580x580,55429,916bd2c53892a29ad7e00c6222472ca8ae19e1f28f3d112f41eea246c1fd8126,CLEAN_EXACT_LOW_RES_SOURCE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CLEAN_EXACT
SL225S,https://theone.vn/wp-content/uploads/2020/08/SL225S-1.jpg,/assets/product-packages/sl-chair-theone/products/SL225S/main.jpg,580x580,46276,8620f75f3d9cbe6b57537f038ff2c76c17a36009f85943222572cc81df80d9a3,CLEAN_EXACT_LOW_RES_SOURCE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CLEAN_EXACT
SL601S,https://theone.vn/wp-content/uploads/2020/08/SL601S-1.jpg,/assets/product-packages/sl-chair-theone/products/SL601S/main.jpg,580x580,56074,1099de2f932525f00ecfec70d9a73bf4ef67e6d2e6e0392a4c34c871f40ab9c6,CLEAN_EXACT_LOW_RES_SOURCE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CLEAN_EXACT
SL603M,https://theone.vn/wp-content/uploads/2020/08/SL603M-1.jpg,/assets/product-packages/sl-chair-theone/products/SL603M/main.jpg,580x580,52176,8bc8184c81902665c57c1ce67b1a0f260cd35519b366b63682f39d38c9b44b86,CLEAN_EXACT_LOW_RES_SOURCE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CLEAN_EXACT
SL606,https://theone.vn/wp-content/uploads/2020/08/SL606-1.jpg,/assets/product-packages/sl-chair-theone/products/SL606/main.jpg,580x580,48815,299bd1f91d2f9da28ff5b54da09c064ea38abcd2050df4994e4f589d9f89d4a6,CLEAN_EXACT_LOW_RES_SOURCE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CLEAN_EXACT
SL607,https://theone.vn/wp-content/uploads/2020/08/SL607-1.jpg,/assets/product-packages/sl-chair-theone/products/SL607/main.jpg,580x580,42393,60c2ac14dc390ff116116d791299582f7539913f509c669348cc1e22162c3e1b,CLEAN_EXACT_LOW_RES_SOURCE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CLEAN_EXACT
SL710S,https://theone.vn/wp-content/uploads/2020/08/SL710S.jpg,/assets/product-packages/sl-chair-theone/products/SL710S/main.jpg,580x580,47254,0ad856c4081b1e216a1066f6c29392b5d4711d34500c7d561bba1b098c88615d,CLEAN_EXACT_LOW_RES_SOURCE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CLEAN_EXACT
SL711S,https://theone.vn/wp-content/uploads/2020/08/SL711S-1.jpg,/assets/product-packages/sl-chair-theone/products/SL711S/main.jpg,580x580,82027,b07b5d526f5298f9a97f815732380a865980262c3f655d3107c234c9ef9cc80d,CLEAN_EXACT_LOW_RES_SOURCE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CLEAN_EXACT
SL712S,https://theone.vn/wp-content/uploads/2020/08/SL712S-1.jpg,/assets/product-packages/sl-chair-theone/products/SL712S/main.jpg,580x580,56953,0e9a7e39664f633b56bbbbb178586f0f92a1ad7603d4fc8a409aaeb206b35deb,CLEAN_EXACT_LOW_RES_SOURCE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CLEAN_EXACT
SL718M,https://theone.vn/wp-content/uploads/2020/08/SL718M-1.jpg,/assets/product-packages/sl-chair-theone/products/SL718M/main.jpg,580x580,61853,f1b2bbaae0a291369cb8e563197766d26e138c2b0279f6ca607fe613105b3c3a,CLEAN_EXACT_LOW_RES_SOURCE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,CLEAN_EXACT
