Code,ProductName,PortalCategory,SubCategory,Source,OfficialSourceFound,OfficialProductURL,Status,PriceVND,Size,Material,DescriptionCompleteness,ImageStatus,NaturalResolution,CorrectProduct,Watermark,QR,SupplierLogo,FakeUpscale
SL216S,Ghế Họp Chân Quỳ The One SL216S,GHẾ / OFFICE_CHAIR,Ghế họp chân quỳ SL,The One,true,https://noithattheone.vn/ghe-phong-hop/ghe-hop-cao-cap-sl216.html,ACTIVE_OR_UNSPECIFIED,1012000,W625 x D655 x H1075 mm,"Vải, khung sắt",COMPLETE,CLEAN_EXACT_LOW_RES_SOURCE,580x580,PASS,PASS,PASS,PASS,PASS
SL225S,Ghế Họp Chân Quỳ The One SL225S,GHẾ / OFFICE_CHAIR,Ghế họp chân quỳ SL,The One,true,https://noithattheone.vn/ghe-phong-hop/ghe-hop-sl225s.html,ACTIVE_OR_UNSPECIFIED,891000,W605 x D600 x H925 mm,"Vải, khung sắt",COMPLETE,CLEAN_EXACT_LOW_RES_SOURCE,580x580,PASS,PASS,PASS,PASS,PASS
SL601S,Ghế Họp Chân Quỳ The One SL601S,GHẾ / OFFICE_CHAIR,Ghế họp chân quỳ SL,The One,true,https://noithattheone.vn/ghe-phong-hop/ghe-hop-cao-cap-sl601s.html,ACTIVE_OR_UNSPECIFIED,1034000,W580 x D615 x H945 mm,"Vải, khung sắt",COMPLETE,CLEAN_EXACT_LOW_RES_SOURCE,580x580,PASS,PASS,PASS,PASS,PASS
SL603M,Ghế Họp Chân Quỳ The One SL603M,GHẾ / OFFICE_CHAIR,Ghế họp chân quỳ SL,The One,true,https://noithattheone.vn/ghe-hop-sl/ghe-hop-cao-cap-sl603m.html,ACTIVE_OR_UNSPECIFIED,3124000,W570 x D715 x H1000 mm,"Da, khung sắt",COMPLETE,CLEAN_EXACT_LOW_RES_SOURCE,580x580,PASS,PASS,PASS,PASS,PASS
SL606,Ghế Họp Chân Quỳ SL606,GHẾ / OFFICE_CHAIR,Ghế họp chân quỳ SL,The One,true,https://noithattheone.vn/ghe-phong-hop/ghe-hop-cao-cap-sl606.html,ACTIVE_OR_UNSPECIFIED,2827000,W620 x D645 x H980 mm,Da,COMPLETE,CLEAN_EXACT_LOW_RES_SOURCE,580x580,PASS,PASS,PASS,PASS,PASS
SL607,Ghế Họp Chân Quỳ The One SL607,GHẾ / OFFICE_CHAIR,Ghế họp chân quỳ SL,The One,true,https://noithattheone.vn/ghe-phong-hop/ghe-hop-cao-cap-sl607.html,ACTIVE_OR_UNSPECIFIED,1914000,W580 x D590 x H1110 mm,"PVC, khung sắt",COMPLETE,CLEAN_EXACT_LOW_RES_SOURCE,580x580,PASS,PASS,PASS,PASS,PASS
SL710S,Ghế Họp Chân Quỳ The One SL710S,GHẾ / OFFICE_CHAIR,Ghế họp chân quỳ SL,The One,true,https://noithattheone.vn/ghe-phong-hop/ghe-hop-cao-cap-sl710s.html,ACTIVE_OR_UNSPECIFIED,944900,W575 x D690 x H900 mm,"Vải, khung sắt",COMPLETE,CLEAN_EXACT_LOW_RES_SOURCE,580x580,PASS,PASS,PASS,PASS,PASS
SL711S,Ghế Họp Chân Quỳ The One SL711S,GHẾ / OFFICE_CHAIR,Ghế họp chân quỳ SL,The One,true,https://noithattheone.vn/ghe-phong-hop/ghe-ho-cao-cap-sl711s.html,ACTIVE_OR_UNSPECIFIED,1155000,W600 x D650 x H900 mm,"Vải, khung sắt",COMPLETE,CLEAN_EXACT_LOW_RES_SOURCE,580x580,PASS,PASS,PASS,PASS,PASS
SL712S,Ghế Họp Chân Quỳ The One SL712S,GHẾ / OFFICE_CHAIR,Ghế họp chân quỳ SL,The One,true,https://noithattheone.vn/ghe-phong-hop/ghe-hop-cao-cap-sl712s.html,ACTIVE_OR_UNSPECIFIED,944900,W595 x D595 x H930 mm,"Vải, khung sắt",COMPLETE,CLEAN_EXACT_LOW_RES_SOURCE,580x580,PASS,PASS,PASS,PASS,PASS
SL718M,Ghế Họp Chân Quỳ The One SL718M,GHẾ / OFFICE_CHAIR,Ghế họp chân quỳ SL,The One,true,https://noithattheone.vn/ghe-phong-hop/ghe-hop-cao-cap-sl718m.html,ACTIVE_OR_UNSPECIFIED,2486000,W580 x D690 x H990 mm,"Da, khung sắt",COMPLETE,CLEAN_EXACT_LOW_RES_SOURCE,580x580,PASS,PASS,PASS,PASS,PASS
