URL,PageType,TemplateBefore,TemplateAfter,HeaderVersion,FooterVersion,LogoAsset,DataSource,HTTPStatus,Canonical,DemoContent,Result
/,homepage,Homepage Product-first V8,Homepage Product-first V8,SiteHeader homepage reference,SiteFooter homepage reference,/images/brand/ba-furniture-logo.jpg,Static curated homepage,200,https://bafurni.com/,0,PASS
/category.html,category_index,Legacy category demo shell,Shared category renderer,SiteHeader shared,SiteFooter shared,/images/brand/ba-furniture-logo.jpg,ProductDB readonly bundle,200,https://bafurni.com/category.html,0,PASS
/danh-muc/ghe-van-phong,category,Legacy demo shell,Shared category renderer,SiteHeader shared,SiteFooter shared,/images/brand/ba-furniture-logo.jpg,ProductDB readonly bundle,200,https://bafurni.com/danh-muc/ghe-van-phong,0,PASS
/danh-muc/ban-van-phong,category,Legacy category engine,Shared category renderer,SiteHeader shared,SiteFooter shared,/images/brand/ba-furniture-logo.jpg,ProductDB readonly bundle,200,https://bafurni.com/danh-muc/ban-van-phong,0,PASS
/danh-muc/ban-hop,category,Legacy category engine,Shared category renderer,SiteHeader shared,SiteFooter shared,/images/brand/ba-furniture-logo.jpg,ProductDB readonly bundle,200,https://bafurni.com/danh-muc/ban-hop,0,PASS
/danh-muc/tu-ho-so,category,Legacy category engine,Shared category renderer,SiteHeader shared,SiteFooter shared,/images/brand/ba-furniture-logo.jpg,ProductDB readonly bundle,200,https://bafurni.com/danh-muc/tu-ho-so,0,PASS
/danh-muc/tu-locker,category,Legacy category engine,Shared category renderer,SiteHeader shared,SiteFooter shared,/images/brand/ba-furniture-logo.jpg,ProductDB readonly bundle,200,https://bafurni.com/danh-muc/tu-locker,0,PASS
/danh-muc/sofa-ghe-cho,category,Legacy category engine,Shared category renderer,SiteHeader shared,SiteFooter shared,/images/brand/ba-furniture-logo.jpg,ProductDB readonly bundle,200,https://bafurni.com/danh-muc/sofa-ghe-cho,0,PASS
/danh-muc/noi-that-truong-hoc,category,Legacy category engine,Shared category renderer,SiteHeader shared,SiteFooter shared,/images/brand/ba-furniture-logo.jpg,ProductDB readonly bundle,200,https://bafurni.com/danh-muc/noi-that-truong-hoc,0,PASS
/danh-muc/ke-gia-kho,category,Legacy category engine,Shared category renderer,SiteHeader shared,SiteFooter shared,/images/brand/ba-furniture-logo.jpg,ProductDB readonly bundle,200,https://bafurni.com/danh-muc/ke-gia-kho,0,PASS
/product-detail.html?code=TQ05,product_detail,Legacy commerce product page,Shared product renderer,SiteHeader shared,SiteFooter shared,/images/brand/ba-furniture-logo.jpg,ProductDB readonly bundle + approved product image,200,https://bafurni.com/product-detail.html?code=TQ05,0,PASS
/product-detail.html?code=TQ01,product_detail,Legacy commerce product page,Shared product renderer,SiteHeader shared,SiteFooter shared,/images/brand/ba-furniture-logo.jpg,ProductDB readonly bundle + approved product image,200,https://bafurni.com/product-detail.html?code=TQ01,0,PASS
/product-detail.html?code=DT1890V2,product_detail,Legacy commerce product page,Shared product renderer,SiteHeader shared,SiteFooter shared,/images/brand/ba-furniture-logo.jpg,ProductDB readonly bundle + approved product image,200,https://bafurni.com/product-detail.html?code=DT1890V2,0,PASS
/product-detail.html?code=DT2010V2,product_detail,Legacy commerce product page,Shared product renderer,SiteHeader shared,SiteFooter shared,/images/brand/ba-furniture-logo.jpg,ProductDB readonly bundle + approved product image,200,https://bafurni.com/product-detail.html?code=DT2010V2,0,PASS
/product-detail.html?code=TU09K7CK,product_detail,Legacy commerce product page,Shared product renderer,SiteHeader shared,SiteFooter shared,/images/brand/ba-furniture-logo.jpg,ProductDB readonly bundle + approved product image,200,https://bafurni.com/product-detail.html?code=TU09K7CK,0,PASS
/product-detail.html?code=TU983-3KS,product_detail,Legacy commerce product page,Shared product renderer,SiteHeader shared,SiteFooter shared,/images/brand/ba-furniture-logo.jpg,ProductDB readonly bundle + approved product image,200,https://bafurni.com/product-detail.html?code=TU983-3KS,0,PASS
/product-detail.html?code=GMG101A-2,product_detail,Legacy commerce product page,Shared product renderer,SiteHeader shared,SiteFooter shared,/images/brand/ba-furniture-logo.jpg,ProductDB readonly bundle + approved product image,200,https://bafurni.com/product-detail.html?code=GMG101A-2,0,PASS
/product-detail.html?code=BMG101A-2,product_detail,Legacy commerce product page,Shared product renderer,SiteHeader shared,SiteFooter shared,/images/brand/ba-furniture-logo.jpg,ProductDB readonly bundle + approved product image,200,https://bafurni.com/product-detail.html?code=BMG101A-2,0,PASS
/product-detail.html?code=UNKNOWN-CODE,product_not_found,Legacy blank or incomplete state,Shared product not-found state,SiteHeader shared,SiteFooter shared,/images/brand/ba-furniture-logo.jpg,ProductDB readonly lookup,200 shell + noindex,https://bafurni.com/product-detail.html,0,PASS
