Section,Asset,FileDimension,DisplayedDimension1440,DisplayedDimension390,OriginalSourceDimension,GeneratedOrOriginal,UpscaleRatio,BrowserSelectedAsset,SharpnessVisual,EdgeQuality,MaterialTexture,GeometryIntegrity,AIArtifact,BlurReason,Decision,ReplacementAsset,Notes
Hero desktop,assets/marketing/remastered/hero-desktop.avif,1600x1000,769x540,NOT_SELECTED,1600x1000,REPO_SOURCE_RENDER_CAMERA_PROVENANCE_UNAVAILABLE,1.00,/assets/marketing/remastered/hero-desktop.avif?v=true-source-1,PASS_TRUE_DETAIL_LAPLACIAN_432.641,PASS,PASS,PASS,NONE_OBSERVED_AT_100_200,PREVIOUS_1.20X_UPSCALE_REMOVED,PASS_TRUE_DETAIL,assets/marketing/remastered/hero-desktop.avif,Before 1920x1200 Laplacian 241.345; now native 1600 source without AI upscale
Hero mobile,assets/marketing/remastered/hero-mobile.avif,1200x900,NOT_SELECTED,390x260,1600x1000,VERIFIED_CROP_FROM_REPO_SOURCE_RENDER,0.90,/assets/marketing/remastered/hero-mobile.avif?v=true-source-1,PASS_TRUE_DETAIL_LAPLACIAN_465.010,PASS,PASS,PASS,NONE_OBSERVED_AT_100_200,PREVIOUS_1.667X_UPSCALE_FROM_720_REMOVED,PASS_TRUE_DETAIL,assets/marketing/remastered/hero-mobile.avif,Center crop 1334x1000 from native 1600 source then downsampled to 1200x900; no generated detail
Solution office,assets/marketing/remastered/solution-doanh-nghiep.avif,1600x1000,423x238,353x198,1600x1000,REPO_SOURCE_RENDER_CAMERA_PROVENANCE_UNAVAILABLE,1.00,/assets/marketing/remastered/solution-doanh-nghiep.avif?v=true-source-1,PASS_TRUE_DETAIL_LAPLACIAN_895.659,PASS,PASS,PASS,NONE_OBSERVED_AT_100_200,PREVIOUS_2.667X_UPSCALE_FROM_720_REMOVED,PASS_TRUE_DETAIL,assets/marketing/remastered/solution-doanh-nghiep.avif,Before Laplacian 86.105; native partitions mesh chairs and desk edges now resolve cleanly
Solution school,assets/marketing/remastered/solution-truong-hoc.avif,1600x1000,423x238,353x198,1600x1000,REPO_SOURCE_RENDER_CAMERA_PROVENANCE_UNAVAILABLE,1.00,/assets/marketing/remastered/solution-truong-hoc.avif?v=true-source-1,PASS_TRUE_DETAIL_LAPLACIAN_465.603,PASS,PASS,PASS,NONE_OBSERVED_AT_100_200,PREVIOUS_2.667X_UPSCALE_FROM_720_REMOVED,PASS_TRUE_DETAIL,assets/marketing/remastered/solution-truong-hoc.avif,Before Laplacian 63.171; native chair legs tabletops and shelving retained
Solution factory,assets/marketing/remastered/solution-nha-may.avif,1600x1000,423x238,353x198,1600x1000,REPO_SOURCE_RENDER_CAMERA_PROVENANCE_UNAVAILABLE,1.00,/assets/marketing/remastered/solution-nha-may.avif?v=true-source-1,PASS_TRUE_DETAIL_LAPLACIAN_784.595,PASS,PASS,PASS,NONE_OBSERVED_AT_100_200,PREVIOUS_2.667X_UPSCALE_FROM_720_REMOVED,PASS_TRUE_DETAIL,assets/marketing/remastered/solution-nha-may.avif,Before Laplacian 40.912; locker vents doors and frame edges retain true source detail
Brand leadership,assets/marketing/remastered/brand-promise-ghe-giam-doc.avif,1600x1143,314x640,168x640,1600x1143,REPO_SOURCE_RENDER_CAMERA_PROVENANCE_UNAVAILABLE,1.00,/assets/marketing/remastered/brand-promise-ghe-giam-doc.avif?v=true-source-1,PASS_TRUE_DETAIL_LAPLACIAN_456.594,PASS,PASS,PASS,NONE_OBSERVED_AT_100_200,PREVIOUS_2.00X_UPSCALE_FROM_960_REMOVED,PASS_TRUE_DETAIL,assets/marketing/remastered/brand-promise-ghe-giam-doc.avif,Before Laplacian 80.523; leather seams armrests and caster geometry pass at 200%
Brand team workspace,assets/marketing/remastered/brand-promise-ban-cum-module.avif,1600x1143,314x640,168x640,1600x1143,REPO_SOURCE_RENDER_CAMERA_PROVENANCE_UNAVAILABLE,1.00,/assets/marketing/remastered/brand-promise-ban-cum-module.avif?v=true-source-1,PASS_TRUE_DETAIL_LAPLACIAN_447.066,PASS,PASS,PASS,NONE_OBSERVED_AT_100_200,PREVIOUS_2.00X_UPSCALE_FROM_960_REMOVED,PASS_TRUE_DETAIL,assets/marketing/remastered/brand-promise-ban-cum-module.avif,Before Laplacian 73.265; partitions cable slots edges and wood grain pass at 200%
Brand meeting,assets/marketing/remastered/brand-promise-ban-hop-nho.avif,1600x1143,314x640,168x640,1600x1143,REPO_SOURCE_RENDER_CAMERA_PROVENANCE_UNAVAILABLE,1.00,/assets/marketing/remastered/brand-promise-ban-hop-nho.avif?v=true-source-1,PASS_TRUE_DETAIL_LAPLACIAN_1600.154,PASS,PASS,PASS,NONE_OBSERVED_AT_100_200,PREVIOUS_2.00X_UPSCALE_FROM_960_REMOVED,PASS_TRUE_DETAIL,assets/marketing/remastered/brand-promise-ban-hop-nho.avif,Before Laplacian 235.136; tabletop grain pedestal fluting and chair geometry pass
Brand locker,assets/marketing/remastered/brand-promise-tu-locker.avif,1600x1143,314x640,168x640,1600x1143,REPO_SOURCE_RENDER_CAMERA_PROVENANCE_UNAVAILABLE,1.00,/assets/marketing/remastered/brand-promise-tu-locker.avif?v=true-source-1,PASS_TRUE_DETAIL_LAPLACIAN_937.135,PASS,PASS,PASS,NONE_OBSERVED_AT_100_200,PREVIOUS_2.00X_UPSCALE_FROM_960_REMOVED,PASS_TRUE_DETAIL,assets/marketing/remastered/brand-promise-tu-locker.avif,Before Laplacian 161.125; vents locks doors and verticals pass at 200%
Project workplace,assets/marketing/remastered/project-workplace.avif,1600x1200,476x357,353x358,1600x1200,REPO_SOURCE_RENDER_CAMERA_PROVENANCE_UNAVAILABLE,1.00,/assets/marketing/remastered/project-workplace.avif?v=true-source-1,PASS_TRUE_DETAIL_LAPLACIAN_1108.354,PASS,PASS,PASS,NONE_OBSERVED_AT_100_200,PREVIOUS_1.60X_UPSCALE_FROM_1200_REMOVED,PASS_TRUE_DETAIL,assets/marketing/remastered/project-workplace.avif,Before Laplacian 349.023; chair mesh controls and furniture edges pass
Project education,assets/marketing/remastered/project-education.avif,1600x1200,396x357,353x358,1600x1200,REPO_SOURCE_RENDER_CAMERA_PROVENANCE_UNAVAILABLE,1.00,/assets/marketing/remastered/project-education.avif?v=true-source-1,PASS_TRUE_DETAIL_LAPLACIAN_360.152,PASS,PASS,PASS,NONE_OBSERVED_AT_100_200,PREVIOUS_1.60X_UPSCALE_FROM_1200_REMOVED,PASS_TRUE_DETAIL,assets/marketing/remastered/project-education.avif,Before Laplacian 130.840; chair cutouts desk edges and storage detail pass
Project lounge,assets/marketing/remastered/project-lounge.avif,1600x1200,396x357,353x358,1600x1200,REPO_SOURCE_RENDER_CAMERA_PROVENANCE_UNAVAILABLE,1.00,/assets/marketing/remastered/project-lounge.avif?v=true-source-1,PASS_TRUE_DETAIL_LAPLACIAN_161.639,PASS,PASS,PASS,NONE_OBSERVED_AT_100_200,PREVIOUS_1.60X_UPSCALE_FROM_1200_REMOVED,PASS_TRUE_DETAIL,assets/marketing/remastered/project-lounge.avif,Before Laplacian 58.927; upholstery seams arm profile and wood slats pass
Category office chair,assets/category/approved/category-office-chair.webp,1600x1200,318x178,170x105,1600x1200,APPROVED_REPO_RENDER_CAMERA_PROVENANCE_UNAVAILABLE,1.00,/assets/category/approved/category-office-chair.webp,PASS_TRUE_DETAIL_LAPLACIAN_1112.075,PASS,PASS,PASS,NONE_OBSERVED_AT_100_200,NONE,PASS_TRUE_DETAIL,KEEP,Unchanged approved asset; no watermark fake text logo or geometry defect observed
Category office desk,assets/category/approved/category-office-desk.webp,1600x1200,318x178,170x105,1600x1200,APPROVED_REPO_RENDER_CAMERA_PROVENANCE_UNAVAILABLE,1.00,/assets/category/approved/category-office-desk.webp,PASS_TRUE_DETAIL_LAPLACIAN_371.077,PASS,PASS,PASS,NONE_OBSERVED_AT_100_200,NONE,PASS_TRUE_DETAIL,KEEP,Unchanged approved asset; clean desk edges grain and hardware
Category meeting table,assets/category/approved/category-meeting-table.webp,1600x1200,318x178,170x105,1600x1200,APPROVED_REPO_RENDER_CAMERA_PROVENANCE_UNAVAILABLE,1.00,/assets/category/approved/category-meeting-table.webp,PASS_TRUE_DETAIL_LAPLACIAN_374.706,PASS,PASS,PASS,NONE_OBSERVED_AT_100_200,NONE,PASS_TRUE_DETAIL,KEEP,Unchanged approved asset; table geometry and power modules pass
Category cabinet pedestal,assets/category/approved/category-cabinet-pedestal.webp,1600x1200,318x178,170x105,1600x1200,APPROVED_REPO_RENDER_CAMERA_PROVENANCE_UNAVAILABLE,1.00,/assets/category/approved/category-cabinet-pedestal.webp,PASS_TRUE_DETAIL_LAPLACIAN_859.886,PASS,PASS,PASS,NONE_OBSERVED_AT_100_200,NONE,PASS_TRUE_DETAIL,KEEP,Unchanged approved asset; doors handles shelves and verticals pass
Category locker,assets/category/approved/category-locker.webp,1600x1200,318x178,170x105,1600x1200,APPROVED_REPO_RENDER_CAMERA_PROVENANCE_UNAVAILABLE,1.00,/assets/category/approved/category-locker.webp,PASS_TRUE_DETAIL_LAPLACIAN_759.694,PASS,PASS,PASS,NONE_OBSERVED_AT_100_200,NONE,PASS_TRUE_DETAIL,KEEP,Unchanged approved asset; vents locks and door geometry pass
Category sofa waiting,assets/category/approved/category-sofa-waiting.webp,1600x1200,318x178,170x105,1600x1200,APPROVED_REPO_RENDER_CAMERA_PROVENANCE_UNAVAILABLE,1.00,/assets/category/approved/category-sofa-waiting.webp,PASS_TRUE_DETAIL_LAPLACIAN_163.684,PASS,PASS,PASS,NONE_OBSERVED_AT_100_200,NONE,PASS_TRUE_DETAIL,KEEP,Unchanged approved asset; upholstery texture and seams pass
Category school,assets/category/approved/category-school.webp,1600x1200,318x178,170x105,1600x1200,APPROVED_REPO_RENDER_CAMERA_PROVENANCE_UNAVAILABLE,1.00,/assets/category/approved/category-school.webp,PASS_TRUE_DETAIL_LAPLACIAN_358.708,PASS,PASS,PASS,NONE_OBSERVED_AT_100_200,NONE,PASS_TRUE_DETAIL,KEEP,Unchanged approved asset; desks chair geometry and storage detail pass
